"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"AVIO";"Aerospace";"303009";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"88";"16";"10";"16";"7";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"";"";"";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"";"19326";"22807";"";"";"352030";"";"489000";"";"1187";"367332170880558";"";"Si";"No";"No";"976";"171";"55";"3";"95";"";"11";"70";"19";"";"";"";"";"7.pdf";"2023_Avio-bilancio-2022-NON-ESEF-(firme-rel-rev-col-sin)_media-ris_DEF_ITA_20230331_071151 (AVIO).pd"
"ATM";"Logistics and Transport";"493100";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"86";"18";"10";"30";"7";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"IR Framework";"IR Framework";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"70459";"108830";"39567";"";"";"4235000";"";"2650000";"";"8481";"208971641363506";"37";"Si";"No";"No";"9431";"1042";"40";"28";"";"";"8";"55";"37";"";"";"20";"80";"172.pdf";"Relazione Annuale Integrata Gruppo ATM 2022 (ATM).pdf"
"AZIMUT HOLDING";"Financial Services";"642000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"95";"15";"4";"31";"6";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"SASB";"SASB";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"";"1337";"";"";"12376943";"";"";"";"";"";"923980649619903";"";"Si";"No";"No";"779";"668";"44";"";"";"";"";"";"";"";"";"50";"50";"67.pdf";"Dichiarazione non-finanziaria Azimut 2022.pdf"
"B.F. SPA";"Food and Beverage";"701000";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"72";"5";"18";"9";"4";"Si";"No";"No";"No";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"With reference to";"TCFD";"TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"5303";"6119";"9643";"";"";"168705";"";"15861500";"";"276107";"2315";"9321";"Si";"No";"No";"665";"245";"46";"10";"";"";"1395";"4857";"3747";"";"0";"0";"100";"30.pdf";"bfdnf2022.pdf"
"BANCA AGRICOLA POPOLARE DI RAGUSA";"Banks";"641910";"";"Sicilia";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"122";"6";"4";"10";"8";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"77";"";"";"";"";"19814";"";"";"";"149";"102666666666667";"33";"Si";"No";"No";"458";"292";"27";"0";"95";"";"1";"38";"61";"";"0";"9";"91";"73.pdf";"Dichiarazione-Non-Finanziaria-Consolidata-2022 (BANCA AGRICOLA POPOLARE DI RAGUSA).pdf"
"BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA ( inglobata in BPER)";"";" ";"";"";"";" ";" ";" ";"";"";"";"";"";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";"";"";"";"";"";"";"";"";"";" ";" ";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"BANCA DI CIVIDALE SCPA - CIVIBANK";"Banks";"641910";"";"Friuli-Venezia Giulia";"No";"Servizi-Finanziari";"DNF";"Report-separato";"180";"25";"6";"33";"25";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1042";"2162";"1093";"";"";"46565";"";"16000";"";"97803";"227474854420328";"20";"No";"No";"No";"970";"919";"22";"";"";"45";"13";"52";"35";"";"0";"0";"100";"83.pdf";"DNF-2022_civibank.pdf"
"BANCA DI CREDITO POPOLARE";"Banks";"641910";"";"Campania";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"167";"15";"20";"60";"24";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"With reference to";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"";"";"";"";"";"10442";"";"";"";"40";"0";"30";"No";"No";"No";"328";"186";"20";"0";"928";"52";"";"42";"58";"59";"0";"11";"89";"2.pdf";"17012398DNF_2022_BCP (BANCA DI CREDITO POPOLARE).pdf"
"BANCA FINANZIARIA INTERNAZIONALE SPA";"Banks";"641910";"";"Veneto";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"125";"5";"17";"12";"23";"Si";"No";"Si";"No";"Si (2021-2022)";"Si";"No";"No";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"420412";"478";"";"";"";"5672394";"";"";"";"";"717018739352641";"2704";"Si";"Si";"Si";"289";"298";"125";"15";"8833";"";"22";"61";"17";"";"";"";"";"65.pdf";"Dichiarazione non finanziaria consolidata 2022 (banca finanziaria internazionale).pdf"
"BANCA FARMAFACTORING SPA";"Banks";"641910";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"186";"11";"11";"9";"18";"No";"No";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"257";"719";"";"";"343";"8470";"";"";"10140";"";"115914489311164";"153687648438872";"Si";"No";"No";"382";"460";"444";"";"884";"";"75";"61";"315";"";"0";"22";"78";"88.pdf";"DNF_BFF_2022_23.03.2023_Online (BANCA FARMAFACTORING SPA).pdf"
