"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"BANCO DI DESIO E DELLA BRIANZA";"Banks";"641910";"";"Lombardia";"Si";"Servizi-Finanziari";"Bilancio-di-Sostenibilita";"Report-Separato";"164";"21";"29";"41";"36";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"1279";"2836";"";"";"288";"63909";"";"";"";"5268";"195";"173";"Si";"No";"No";"1247";"847";"45";"";"100";"";"";"";"";"";"27";"73";"0";"27.pdf";"Banco_Desio_BILANCIO_DI_SOSTENIBILITA_2022_per_pubblicazione.pdf"
"BASIC NET";"Services";"774000";"";"Piemonte";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"50";"8";"5";"13";"41";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1329";"1697";"2408";"";"";"43312";"";"";"";"5888";"565452653485952";"";"Si";"No";"No";"359";"602";"36";"2903";"";"";"34";"51";"15";"487";"7";"28";"65";"42.pdf";"Bilancio_BasicNet_2022_.pdf"
"BE SHAPING THE FUTURE SPA (ex BE THINK, SOLVE, EXECUTE SPA/Gruppo Be)";"Services";"642000";"";"Lazio";"No";"Societa-azioni-quotate";"Relazione dimpatto";"Report-Separato";"21";"";"";"";"";"";"";"";"";"";"N.D";"N.D";"N.D";"N.D";"N.D";"N.D";"";"";"";"Si";"";"Si";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";"";"";"";"";"51.pdf";"BYE-Relazione-di-impatto-2022.pdf"
"BEGHELLI";"Electronics";"279009";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"129";"9";"17";"19";"13";"No";"No";"No";"No";"Si (2021-2022)";"Si";"No";"No";"Si";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1834";"3021";"3429";"";"";"57475";"";"";"";"72113";"471359223300971";"487395064385834";"Si";"No";"No";"445";"585";"42";"19";"";"";"4";"66";"30";"51";"0";"417";"583";"177.pdf";"Report di Sostenibilit"
"BIALETTI INDUSTRIE SPA";"Manufacturing";"259919";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF ";"Report-Separato";"112";"3";"14";"37";"3";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"408588";"51847";"";"";"";"1061414";"";"54863";"";"155514";"90356530214425";"";"Si";"No";"No";"287";"739";"44";"19";"778571428571429";"";"12280701754386";"700779727095517";"176413255360624";"";"0";"22";"78";"34.pdf";"Bilaletti Industrie DNF 2022.pdf"
"BENETTON GROUP";"Textile";"469000";"";"Veneto";"No";"DNF-Volontaria";"Report-Integrato";"Report-Separato";"165";"10";"24";"36";"21";"Si";"No";"Si";"Si";"Si (2019-2021)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"IR Framework";"IR Framework";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"3719";"24909";"18597";"";"635343";"288857";"";"";"";"381399";"438340223549227";"";"Si";"Si";"Si";"1513";"5018";"16";"";"984";"";"3377";"5317";"1355";"";"0";"";"";"29.pdf";"Benetton_bilancio_integrato_2022.pdf"
"BIESSE SPA";"Machine and Plant";"284000";"";"Marche";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"63";"20";"13";"24";"3";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si ";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"6013";"620499";"276146";"";"";"182969";"";"70450";"";"3762";"408604746317512";"662";"Si";"No";"No";"3172";"494";"428";"";"";"";"1184";"5939";"2752";"";"0";"14";"86";"33.pdf";"Biesse-2023_Bilancio Sostenibilit"
"BPER";"Banks";"641910";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"184";"4";"15";"19";"8";"Si";"Si";"Si";"Si";"Si (2019-2021)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"11045";"26145";"1111";"";"3160623";"517086";"";"";"";"225268";"181392375088799";"21";"Si";"No";"No";"11296";"9819";"53";"2077";"876666666666667";"";"4";"55";"41";"";"0";"20";"80";"46.pdf";"BPER Bilancio di sostenibilit"
"BREMBO";"Automotive";"293209";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"256";"11";"19";"24";"33";"Si";"Si";"Si";"Si";"Si (2019-2021)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"SASB; UN Global Compact ";"SASB; UN Global Compact ";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"100126";"540467";"188722";"";"1540416";"5284937";"";"156975";"966230";"516260";"640101111454153";"7261";"Si";"Si";"Si";"10665";"2291";"454545454545455";"1478";"";"3918";"246";"3091";"1571";"645";"0";"0";"100";"49.pdf";"Brembo DNF 2022.pdf"
"BRUNELLO CUCINELLI";"Textile";"143900";"";"Umbria";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"251";"22";"37";"64";"42";"Si";"No";"Si";"Si";"Si (2019-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1639";"4688";"2955";"";"";"75785";"";"44185";"";"53606";"375030303030303";"5836";"Si";"No";"No";"902";"1570";"45";"";"866363636363636";"39";"15";"61";"24";"46";"0";"36";"64";"61.pdf";"Cucinelli DNF 2022.pdf"
"BUZZI UNICEM";"Construction and Engineering";"494100";"";"Piemonte";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"72";"5";"31";"11";"15";"Si";"No";"Si";"Si";"Si (2017-2022)";"Si";"Si";"Si";"Si";"No";"Si";"With reference to";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"18692000";"";"";"1526000";"";"104757000";"";"20384000";"7965000";"190400";"213135146531731";"62";"Si";"No";"No";"8139";"1347";"";"114";"";"";"12";"50";"38";"";"";"";"";"50.pdf";"BuzziUnicem_Bilancio di Sostenibilit"
"CA AUTO BANK SPA (da vedere bene in quanto ";"Banks";"641910";"";"Piemonte";"Si";"Altro-EIPR-obbligato";"Bilancio-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"108";"7";"6";"27";"19";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"64633";"1919";"3359";"";"427553";"30527";"";"";"";"";"341529066927211";"1009";"Si";"No";"No";"1069";"978";"43";"37";"";"";"9";"55";"36";"";"";"";"";"108.pdf";"Gruppo-FCA-Bank_Relazione-e-Bilancio-Consolidato_31122022.pdf"
"CAIRO COMMUNICATION";"Media and Publishing";"731200";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"162";"11";"15";"54";"22";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"2729";"15125";"21033";"";"7218";"102427";"";"";"36000";"33218";"100743523316062";"5922";"Si";"No";"No";"2110";"1750";"33";"1935";"8225";"";"3";"47";"50";"585";"0";"10";"90";"53.pdf";"CairoCommunication-DNF 2022.pdf"
"CALTAGIRONE";"Construction and Engineering";"701000";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"110";"5";"23";"21";"4";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"Si";"Si";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"";"";"";"";"";"7324884";"";"";"386306";"3575775";"39202935";"";"17424";"";"12388";"247074335148991";"";"Si";"No";"No";"2705";"416";"4545";"975";"";"";"1166";"5341";"3492";"";"0";"27";"73";"90.pdf";"DNF_Gruppo-Caltagirone_2022-1.pdf"
"CAP";"Utilities";"360000";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"288";"21";"61";"55";"21";"Si";"Si";"Si";"Si";"Si (2019-2022)";"No";"Si";"Si";"Si";"No";"Si";"In accordance with";"TCFD";"TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"53994";"";"";"7465";"31523";"93133";"";"";"";"98752";"692886133032694";"7936";"Si";"Si";"Si";"625";"262";"60";"25";"908333333333333";"";"631";"5682";"3686";"";"0";"60";"40";"81.pdf";"DNF Gruppo CAP 2022.pdf"
"CAREL INDUSTRIES SPA";"Electronics";"279009";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"172";"3";"17";"35";"17";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1665";"4790";"";"";"3622";"74156";"";"20000";"";"1464";"321784646061815";"665";"Si";"No";"No";"1254";"752";"57";"78";"";"427";"153";"628";"219";"";"0";"29";"71";"201.pdf";"sostenibilit__-1056.pdf"
"CARRARO";"Machine and Plant";"281510";"";"Veneto";"Si";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"172";"3";"25";"28";"30";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"25907";"24205";"26607";"";"32882";"637728";"";"156000";"";"19514";"27716401734104";"79";"Si";"No";"No";"2448";"320";"1428";"67";"836666666666667";"42";"14";"65";"21";"";"0";"14";"86";"80.pdf";"DNF Carraro 2022.pdf"
"CASSA CENTRALE BANCA CREDITO COOPERATIVO ITALIANO S.P.A.";"Banks";"641910";"";"Trentino-Alto Adige";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"241";"28";"37";"13";"26";"Si";"Si";"SI";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"7908";"17749";"3566";"";"1483";"358926";"";"";"43848000";"";"";"1827";"Si";"No";"No";"6750";"4952";"33";"615";"";"45";"79";"586";"335";"";"0";"66";"933";"54.pdf";"CassaCentrale-DNF2022-ita.pdf"
"CASSA CENTRALE RAIFFEISEN DELL ALTO ADIGE SPA";"Banks";"641910";"";"Trentino-Alto Adige";"Si";"DNF-Volontaria";"DNF";"Report-separato";"163";"12";"21";"29";"19";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"With reference to";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"9725";"10244";"";"";"";"288202";"";"";"";"963";"476";"1716";"Si";"No";"No";"126";"111";"11";"17";"896666666666667";"444";"16";"41";"43";"";"0";"11";"89";"164.pdf";"Raiffeisen DNF 2022.pdf"
"CASSA DEPOSITI E PRESTITI";"Financial Services";"641940";"";"Lazio";"Si";"Altro-EIPR-obbligato";"Report-integrato";"Report-separato";"144";"9";"11";"7";"9";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"IR Framework; SASB; TCFD";"IR Framework; SASB; TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"19299";"113173";"14515";"";"";"18986";"";"";"";"";"923865493400377";"102";"Si";"No";"No";"892";"699";"36";"26";"786";"";"1376";"6555";"2067";"55";"";"";"";"55.pdf";"CDP-Bilancio-Integrato_2022_ITA.pdf"
"CASSA DI RISPARMIO DI ASTI";"Banks";"641910";"";"Piemonte";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"265";"17";"12";"33";"22";"No";"No";"Si";"Si";"Si (2021-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"2190";"1975";"3475";"";"";"61347";"";"";"";"";"229983434566538";"228";"Si";"No";"No";"747";"1064";"0";"14";"";"";"1159";"50";"3837";"";"0";"10";"90";"24.pdf";"BancaAsti_DNF2022.pdf"
"CASSA DI RISPARMIO DI BOLZANO";"Banks";"641910";"";"Trentino-Alto Adige";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"180";"4";"13";"32";"16";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"1042";"2162";"1093";"";"";"46565";"";"16000000";"";"978";"227474854420328";"2433";"Si";"No";"No";"970";"919";"33";"1851";"90";"4454";"13";"52";"35";"";"0";"33";"67";"202.pdf";"Sparkasse-DNF-2022.pdf"
"CEMBRE";"Electronics";"279009";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"80";"3";"13";"12";"8";"No";"No";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"2210";"3313";"4768";"";"";"76165";"";"39710900";"";"153282";"136124338624339";"5272";"Si";"No";"No";"567";"189";"50";"83";"";"";"14";"56";"30";"";"0";"25";"75";"78.pdf";"DNF 2022 Cembre.pdf"
"CEMENTIR HOLDING";"Machine and Plant";"642000";"";"Lazio";"No";"DNF-Volontaria";"Bilancio-di-Sostenibilita";"Report-separato";"201";"5";"27";"20";"8";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"7324884";"";"";"386306";"3575775";"651420";"";"14908";"";"432326";"247074335148991";"35";"Si";"No";"No";"2705";"416";"40";"1829";"";"";"10";"54";"36";"";"0";"40";"60";"56.pdf";"Cementir DNF 2022.pdf"
"CERVED GROUP ";"Financial Services";"701000";"";"Lombardia";"No";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"106";"4";"4";"18";"3";"No";"No";"Si";"Si";"Si (2019-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1040";"1900";"787";"";"3033";"41680";"";"";"";"1541";"131278619232124";"";"Si";"No";"No";"1147";"1692";"40";"14";"";"";"12";"67";"21";"";"";"";"80";"57.pdf";"Cerved Bilancio di Sostenibilit"
"CIR";"Automotive";"701000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"69";"2";"3";"5";"7";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"76213";"77077";"77052";"";"";"2360023";"";"1812000";"";"32678";"13758332337833";"6519";"Si";"No";"No";"6327";"10415";"55";"50";"81";"";"15";"51";"34";"";"";"";"";"58.pdf";"CIR-Dichiarazione-Non-Finanziaria-2022-con-attestazione-KPMG.pdf"
"CLN GROUP SPA";"Steel";"241000";"";"Piemonte";"No";"DNF-Volontaria";"Report-di-Corporate-Social-Responsability";"Report-separato";"52";"3";"10";"15";"2";"Si";"Si";"Si";"Si";"Si (2019-2022)";"Si";"Si";"Si";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"16215";"";"";"90501";"";"1141691";"";"375000";"";"396832";"158850848466806";"";"Si";"No";"No";"5753";"965";"33";"";"";"";"9";"54";"37";"";"11";"11";"78";"3.pdf";"2022_corporate_social_responsibility_report_for_cln_spa_april_2023_0.pdf"
"CNS ";"Services";"812100";"";"Emilia Romagna";"No";"DNF-Volontaria";"Report-Integrato";"Report-separato";"214";"12";"9";"70";"7";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"SI";"No";"No";"In accordance with";"IR Framework";"IR Framework";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"107";"";"";"";"";"";"";"";"";"";"";"57";"Si";"No";"No";"34";"68";"";"22";"";"";"4";"25";"71";"";"";"";"";"59.pdf";"CNS-Bilancio-Integrato-2022.pdf"
"COMER INDUSTRIES";"Construction and Engineering";"281510";"";"Emilia Romagna";"Si";"DNF-Volontaria";"Bilancio-di-Sostenibilita";"Report-separato";"148";"5";"19";"21";"19";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"TCFD; GlobalCompact";"TCFD; GlobalCompact";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"9456";"16299";"16268";"";"3350";"356271";"";"52500";"";"18021";"129580635214308";"80";"Si";"No";"No";"2886";"357";"11";"";"906666666666667";"";"";"";"";"";"0";"37";"63";"60.pdf";"Comer_22-IT_Sostenibilita-v21_issuu.pdf"
"COMPAGNIA VALDOSTANA DELLE ACQUE SPA COMPAGNIE VALDOTAINE DES EAUX SPA";"Energy";"351100";"";"Valle dAosta";"Si";"Altro-EIPR-obbligato";"Bilancio-di-Sostenibilita";"Report-Separato";"167";"15";"45";"19";"15";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"708";"3910";"679";"";"";"150379";"";"";"";"507";"823794712286159";"778";"No";"No";"No";"476";"167";"40";"0";"99205";"";"6";"68";"26";"";"0";"60";"40";"4.pdf";"2022_CVA_BS_WEB-1.pdf"
"CONCESSIONI AUTOSTRADALI VENETE - CAV SPA";"Services";"522120";"";"Veneto";"Si";"DNF-Volontaria";"Bilancio-di-Sostenibilita";"Report-separato";"73";"4";"17";"11";"3";"Si";"Si";"Si";"Si";"Si (2019-2021)";"Si";"No";"Si";"No";"No";"Si";"With reference to";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"754";"3879";"6251";"";"";"53935";"";"10000";"";"396";"508598130841121";"5765";"Si";"No";"No";"168";"46";"60";"0";"";"";"0";"47";"53";"";"";"";"";"44.pdf";"bilancio_sostenibilita_2022_web.pdf"
"CREDIT AGRICOLE ITALIA SPA";"Banks";"641910";"";"Emilia-Romagna";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"171";"26";"17";"83";"7";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si ";"Si";"With reference to";"TCFD; SASB; UN Global Compact";"TCFD; SASB; UN Global Compact";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"9482";"168333";"5";"0";"";"3809456";"";"269500";"";"106049";"207";"2835";"Si";"No";"No";"6519";"6152";"13";"31";"";"";"72";"495";"433";"";"0";"1698";"8302";"52.pdf";"ca-dnf-2022.pdf"
"CREDEM";"Banks";"641910";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"216";"12";"33";"37";"21";"Si";"No";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB";"TCFD; SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"2831";"74067";"8479";"0";"85551887";"143493";"";"128049";"";"54681";"166";"166";"Si";"No";"No";"4090";"2586";"50";"105";"";"";"118";"526";"356";"";"0";"8";"92";"76.pdf";"DNF 2022 (credem).pdf"
"CSP INTERNATIONAL FASHION GROUP SPA";"Textile";"143100";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"121";"8";"20";"13";"6";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"No";"No";"Si";"In accordance with";"TCFD; SASB";"TCFD; SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"3220";"1814";"244";"0";"";"95073";"";"206000";"";"65239";"84";"6438";"Si";"No";"No";"230";"398";"40";"23";"848";"";"68";"277";"654";"";"0";"40";"60";"64.pdf";"Dichiarazione consolidata non finanziaria 2022 (csp group).pdf"
"DATALOGIC";"Electronics";"279009";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"134";"6";"31";"17";"13";"No";"No";"No";"No";"Si (2021-2022)";"Si";"No";"No";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1325";"7261";"6609";"0";"";"76964";"";"";"";"89328";"495";"0";"Si";"No";"No";"1857";"1212";"50";"";"";"";"155";"571";"274";"63";"0";"25";"75";"48.pdf";"BR-DNF2022-IT (datalogic).pdf"
"DE LONGHI";"Electronics";"642000";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"38";"2";"10";"7";"1";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"With reference to";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"5483";"29152";"20496";"";"";"372130";"";"";"";"1024487";"644";"";"Si";"No";"No";"4192";"4363";"45";"9";"";"";"149";"625";"225";"";"0";"9";"91";"66.pdf";"Dichiarazione Non Finanziaria consolidata al 31-12-2022 (De longhi).pdf"
"DIASORIN";"Healthcare and Pharma";"211000";"";"Piemonte";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"110";"6";"18";"12";"1";"Si";"Si";"Si";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"4627";"15264";"";"";"";"212879";"";"148037";"";"430077";"587";"";"No";"No";"No";"1930";"1456";"40";"27";"90";"";"1222";"5912";"2864";"";"";"";"";"63.pdf";"diasorin_bilancio_dnf2022_0 (diasorin).pdf"
"DOLOMITI ENERGIA HOLDING SPA";"Energy";"351400";"";"Trentino-Alto Adige";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"226";"13";"40";"61";"30";"No";"No";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"500687";"3562712";"3706022";"0";"1174";"46180462";"";"13510656940";"";"309518";"8621";"";"Si";"No";"Si";"1111";"313";"42";"17";"";"4529";"1046";"4999";"3953";"";"";"";"";"87.pdf";"DNF_2022_ITA_lock (dolomiti energia).pdf"
"DO VALUE (ex Do Bank)";"Financial Services";"829110";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"181";"10";"33";"13";"41";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"913";"1963";"279";"";"15997";"34015";"";"";"998";"8644";"105";"2785";"Si";"Si";"Si";"1263";"1744";"40";"2945";"";"";"485";"7096";"2417";"";"0";"30";"70";"62.pdf";"DCNF_ita_final_3103 (do value).pdf"
"E.S.TR.A. SPA";"Energy";"701000";"";"Toscana";"Si";"Altro-EIPR-obbligato";"Bilancio-di-Sostenibilita";"Report-separato";"171";"8";"63";"24";"24";"No";"No";"No";"No";"Si (2020-2022)";"Si";"Si";"No";"Si";"No";"Si";"In accordance with";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"65947";"2938";"3194";"";"";"194632";"";"";"";"82636";"845";"946";"Si";"No";"Si";"544";"309";"2073";"166";"";"355";"44";"533";"422";"56";"0";"2317";"7682";"98.pdf";"Estra_-_Dichiarazione_Non_Finanziaria_2022 (e.s.tr.a.).pdf"
