ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2023,09001,Sassari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",F,4
2023,09001,Sassari - Universita' degli studi,Sardegna,08,"Agriculture, forestry, fisheries and veterinary",F,10
2023,09001,Sassari - Universita' degli studi,Sardegna,08,"Agriculture, forestry, fisheries and veterinary",M,9
2023,09001,Sassari - Universita' degli studi,Sardegna,09,Health and welfare,F,6
2023,09001,Sassari - Universita' degli studi,Sardegna,09,Health and welfare,M,3
2023,08701,Catania - Universita' degli studi,Sicilia,01,Education,F,2
2023,08701,Catania - Universita' degli studi,Sicilia,02,Arts and humanities,F,9
2023,08701,Catania - Universita' degli studi,Sicilia,02,Arts and humanities,M,11
2023,08701,Catania - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",F,5
2023,08701,Catania - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",M,4
2023,08701,Catania - Universita' degli studi,Sicilia,04,"Business, administration and law",F,3
2023,08701,Catania - Universita' degli studi,Sicilia,04,"Business, administration and law",M,5
2023,08701,Catania - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",F,28
2023,08701,Catania - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",M,27
2023,08701,Catania - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),F,2
2023,08701,Catania - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),M,10
2023,08701,Catania - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",F,9
2023,08701,Catania - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",M,12
2023,08701,Catania - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",F,6
2023,08701,Catania - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",M,4
2023,08701,Catania - Universita' degli studi,Sicilia,09,Health and welfare,F,4
2023,08701,Catania - Universita' degli studi,Sicilia,09,Health and welfare,M,4
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,03,"Social sciences, journalism and information",F,1
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,03,"Social sciences, journalism and information",M,1
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,04,"Business, administration and law",F,3
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,04,"Business, administration and law",M,7
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,07,"Engineering, manufacturing and construction",F,3
2023,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,07,"Engineering, manufacturing and construction",M,4
2023,08301,Messina - Universita' degli studi,Sicilia,02,Arts and humanities,F,4
2023,08301,Messina - Universita' degli studi,Sicilia,02,Arts and humanities,M,3
2023,08301,Messina - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",F,8
2023,08301,Messina - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",M,5
2023,08301,Messina - Universita' degli studi,Sicilia,04,"Business, administration and law",F,7
2023,08301,Messina - Universita' degli studi,Sicilia,04,"Business, administration and law",M,5
2023,08301,Messina - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",F,16
2023,08301,Messina - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",M,10
2023,08301,Messina - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),F,1
2023,08301,Messina - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),M,3
2023,08301,Messina - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",F,4
