ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,ClasseGENERE,N_ClasseGENERE
2023/2024,07202,Bari - Politecnico,Puglia,Laurea,2,Arts and humanities,Prev_F,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea,7,"Engineering, manufacturing and construction",Prev_M,5
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale,2,Arts and humanities,Prev_F,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Neutri,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_M,15
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,07202,Bari - Politecnico,Puglia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,07202,Bari - Politecnico,Puglia,Vecchio Ordinamento,7,"Engineering, manufacturing and construction",Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,1,Education,Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,2,Arts and humanities,Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,2,Arts and humanities,Prev_F,7
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,2,Arts and humanities,Prev_M,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Neutri,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Prev_F,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,4,"Business, administration and law",Neutri,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,4,"Business, administration and law",Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,5,"Natural sciences, mathematics and statistics",Neutri,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,5
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,5,"Natural sciences, mathematics and statistics",Prev_M,5
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea,9,Health and welfare,Prev_F,6
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,1,Education,Prev_F,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,1,Education,Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,2,Arts and humanities,Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,2,Arts and humanities,Prev_F,10
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,2,Arts and humanities,Prev_M,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_F,7
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_M,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,4,"Business, administration and law",Neutri,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,4,"Business, administration and law",Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Neutri,7
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,5
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_M,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Prev_M,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,9,Health and welfare,Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale,9,Health and welfare,Prev_F,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,1,Education,Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,2,Arts and humanities,Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Neutri,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,3
2023/2024,07201,Bari - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,1,Education,Prev_F,2
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,2,Arts and humanities,Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,3,"Social sciences, journalism and information",Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,4,"Business, administration and law",Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,07201,Bari - Universita' degli studi,Puglia,Vecchio Ordinamento,9,Health and welfare,Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,1,Education,Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,2,Arts and humanities,Prev_F,4
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,4,"Business, administration and law",Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,4,"Business, administration and law",Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,4,"Business, administration and law",Prev_M,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,7,"Engineering, manufacturing and construction",Prev_M,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,9,Health and welfare,Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea,9,Health and welfare,Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,1,Education,Prev_F,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,2,Arts and humanities,Prev_F,4
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,4,"Business, administration and law",Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,4,"Business, administration and law",Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,3
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Neutri,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Neutri,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,9,Health and welfare,Neutri,2
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale,9,Health and welfare,Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,1,Education,Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Prev_F,1
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Neutri,3
2023/2024,07101,Foggia - Universita' degli studi,Puglia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,2,Arts and humanities,Prev_F,3
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,3,"Social sciences, journalism and information",Neutri,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,3,"Social sciences, journalism and information",Prev_F,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,4,"Business, administration and law",Neutri,3
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,5,"Natural sciences, mathematics and statistics",Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,7,"Engineering, manufacturing and construction",Neutri,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,7,"Engineering, manufacturing and construction",Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,9,Health and welfare,Neutri,3
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea,9,Health and welfare,Prev_F,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,2,Arts and humanities,Prev_F,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,4,"Business, administration and law",Neutri,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Neutri,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,9,Health and welfare,Neutri,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,9,Health and welfare,Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale,9,Health and welfare,Prev_M,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale Ciclo Unico,1,Education,Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Prev_F,1
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,2
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,Vecchio Ordinamento,1,Education,Prev_F,1
2023/2024,06902,"Torrevecchia Teatina (CH) - Universita' telematica ""Leonardo da Vinci""",Abruzzo,Laurea,1,Education,Prev_F,1
2023/2024,06902,"Torrevecchia Teatina (CH) - Universita' telematica ""Leonardo da Vinci""",Abruzzo,Laurea,3,"Social sciences, journalism and information",Prev_F,1
2023/2024,06902,"Torrevecchia Teatina (CH) - Universita' telematica ""Leonardo da Vinci""",Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,06902,"Torrevecchia Teatina (CH) - Universita' telematica ""Leonardo da Vinci""",Abruzzo,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,1,Education,Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,2,Arts and humanities,Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,2,Arts and humanities,Prev_F,7
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,3,"Social sciences, journalism and information",Prev_F,3
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,4,"Business, administration and law",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,4,"Business, administration and law",Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,7,"Engineering, manufacturing and construction",Neutri,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,7,"Engineering, manufacturing and construction",Prev_M,3
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,9,Health and welfare,Neutri,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea,9,Health and welfare,Prev_F,4
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,1,Education,Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,2,Arts and humanities,Neutri,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,2,Arts and humanities,Prev_F,7
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_F,5
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Prev_F,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_M,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,9,Health and welfare,Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale,9,Health and welfare,Prev_F,3
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",Prev_F,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale Ciclo Unico,9,Health and welfare,Neutri,2
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,3
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Vecchio Ordinamento,2,Arts and humanities,Prev_F,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Vecchio Ordinamento,4,"Business, administration and law",Prev_M,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Vecchio Ordinamento,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,Vecchio Ordinamento,9,Health and welfare,Neutri,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,2,Arts and humanities,Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,2,Arts and humanities,Prev_M,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,3,"Social sciences, journalism and information",Neutri,2
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,4,"Business, administration and law",Neutri,3
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,4,"Business, administration and law",Prev_M,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,2,Arts and humanities,Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,3
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Neutri,2
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Prev_F,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Vecchio Ordinamento,3,"Social sciences, journalism and information",Neutri,1
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,Vecchio Ordinamento,4,"Business, administration and law",Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,1,Education,Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,2,Arts and humanities,Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,2,Arts and humanities,Prev_F,5
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,2,Arts and humanities,Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,3,"Social sciences, journalism and information",Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,3,"Social sciences, journalism and information",Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,4,"Business, administration and law",Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,4,"Business, administration and law",Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Neutri,3
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,5,"Natural sciences, mathematics and statistics",Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,7,"Engineering, manufacturing and construction",Prev_M,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,9,Health and welfare,Prev_F,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea,9,Health and welfare,Prev_M,2
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,1,Education,Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,2,Arts and humanities,Prev_F,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,2,Arts and humanities,Prev_M,3
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_F,3
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,4,"Business, administration and law",Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Neutri,2
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_M,2
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Prev_M,2
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,7,"Engineering, manufacturing and construction",Neutri,3
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_M,11
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,9,Health and welfare,Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,9,Health and welfare,Prev_F,4
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale,9,Health and welfare,Prev_M,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,1,Education,Prev_F,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",Neutri,2
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,9,Health and welfare,Neutri,1
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,2
