ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,Genere,ISC
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,1,Education,M,1
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,2,Arts and humanities,F,325
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,2,Arts and humanities,M,130
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,3,"Social sciences, journalism and information",F,52
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,3,"Social sciences, journalism and information",M,65
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,4,"Business, administration and law",F,178
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,4,"Business, administration and law",M,127
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",F,145
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",M,77
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,7,"Engineering, manufacturing and construction",F,65
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,7,"Engineering, manufacturing and construction",M,65
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",F,102
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",M,112
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,9,Health and welfare,F,204
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale,9,Health and welfare,M,32
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",F,515
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",M,227
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",F,208
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",M,68
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,9,Health and welfare,F,995
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,Laurea Magistrale Ciclo Unico,9,Health and welfare,M,632
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,1,Education,F,980
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,1,Education,M,55
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,F,3057
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,M,1016
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",F,3256
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",M,1634
2023/2024,08701,Catania - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",F,928
